,08031000_event_rainfall,08029500_event_rainfall,08025500_event_rainfall,08041300_event_rainfall,08011000_event_rainfall,08010000_event_rainfall,07376000_event_rainfall,07376500_event_rainfall,07375960_event_rainfall,07375800_event_rainfall,07378000_event_rainfall,07377240_event_rainfall,07377782_event_rainfall,07377500_event_rainfall,07375000_event_rainfall,08014800_event_rainfall,02481000_event_rainfall,02492343_event_rainfall,02492360_event_rainfall,07382000_event_rainfall,07383500_event_rainfall,07375280_event_rainfall,02488700_event_rainfall,02487900_event_rainfall,02485700_event_rainfall
1981-06-10 00:00:00+00:00,,,,,,,,,,,,4.3216934,,,,,,,,,,,,,
1981-06-23 00:00:00+00:00,,,,,,,,,,,,1.7034092,,,,,,,,,,,,,
1981-06-25 00:00:00+00:00,,,,,,,,,,,,0.6799205,,,,,,,,,,,,,
1981-07-01 00:00:00+00:00,,,,,,,,,,,,5.903295,,,,,,,,,,,,,
1981-07-04 00:00:00+00:00,,,,,,,,,,,,3.7661595,,,,,,,,,,,,,
1981-07-07 00:00:00+00:00,,,,,,,,,,,,1.3238864,,,,,,,,,,,,,
1981-07-10 00:00:00+00:00,,,,,,,,,,,,2.35375,,,,,,,,,,,,,
1981-07-27 00:00:00+00:00,,,,,,,,,,,,0.61610234,,,,,,,,,,,,,
1981-08-05 00:00:00+00:00,,,,,,,,,,,,0.8233864,,,,,,,,,,,,,
1981-08-07 00:00:00+00:00,,,,,,,,,,,,0.7586932,,,,,,,,,,,,,
1981-08-12 00:00:00+00:00,,,,,,,,,,,,3.4591477,,,,,,,,,,,,,
1981-08-15 00:00:00+00:00,,,,,,,,,,,,0.086136356,,,,,,,,,,,,,
1981-08-24 00:00:00+00:00,,,,,,,,,,,,0.083852276,,,,,,,,,,,,,
1981-08-27 00:00:00+00:00,,,,,,,,,,,,0.9005227,,,,,,,,,,,,,
1981-08-29 00:00:00+00:00,,,,,,,,,,,,5.388807,,,,,,,,,,,,,
1981-09-01 00:00:00+00:00,,,,,,,,,,,,0.9194773,,,,,,,,,,,,,
1981-09-03 00:00:00+00:00,,,,,,,,,,,,0.7806932,,,,,,,,,,,,,
1981-09-12 00:00:00+00:00,,,,,,,,,,,,1.4233296,,,,,,,,,,,,,
1981-09-14 00:00:00+00:00,,,,,,,,,,,,4.610625,,,,,,,,,,,,,
1981-10-01 00:00:00+00:00,,,,,,,,,,,,3.4165,,,,,,,,,,,,,
1981-10-07 00:00:00+00:00,,,,,,,,,,,,0.16294317,,,,,,,,,,,,,
1981-10-09 00:00:00+00:00,,,,,,,,,,,,0.9643523,,,,,,,,,,,,,
1981-10-13 00:00:00+00:00,,,,,,,,,,,,0.08652273,,,,,,,,,,,,,
1981-10-17 00:00:00+00:00,,,,,,,,,,,,0.17120454,,,,,,,,,,,,,
1981-10-22 00:00:00+00:00,,,,,,,,,,,,0.6093863,,,,,,,,,,,,,
1981-10-24 00:00:00+00:00,,,,,,,,,,,,1.2072499,,,,,,,,,,,,,
1981-11-02 00:00:00+00:00,,,,,,,,,,,,0.06892045,,,,,,,,,,,,,
1981-11-08 00:00:00+00:00,,,,,,,,,,,,1.009375,,,,,,,,,,,,,
1981-11-19 00:00:00+00:00,,,,,,,,,,,,0.0055568186,,,,,,,,,,,,,
1981-11-23 00:00:00+00:00,,,,,,,,,,,,0.34035227,,,,,,,,,,,,,
1981-11-29 00:00:00+00:00,,,,,,,,,,,,2.4320452,,,,,,,,,,,,,
1981-12-11 00:00:00+00:00,,,,,,,,,,,,0.5532386,,,,,,,,,,,,,
1981-12-13 00:00:00+00:00,,,,,,,,,,,,6.0430455,,,,,,,,,,,,,
1981-12-17 00:00:00+00:00,,,,,,,,,,,,0.7979773,,,,,,,,,,,,,
1981-12-20 00:00:00+00:00,,,,,,,,,,,,0.44411364,,,,,,,,,,,,,
1981-12-22 00:00:00+00:00,,,,,,,,,,,,2.6551929,,,,,,,,,,,,,
1981-12-24 00:00:00+00:00,,,,,,,,,,,,2.9119318,,,,,,,,,,,,,
1981-12-26 00:00:00+00:00,,,,,,,,,,,,0.48265904,,,,,,,,,,,,,
1981-12-28 00:00:00+00:00,,,,,,,,,,,,0.80351144,,,,,,,,,,,,,
1981-12-30 00:00:00+00:00,,,,,,,,,,,,2.8916364,,,,,,,,,,,,,
1982-01-02 00:00:00+00:00,,,,,,,,,,,,0.33757955,,,,,,,,,,,,,
1982-01-06 00:00:00+00:00,,,,,,,,,,,,1.3156363,,,,,,,,,,,,,
1982-01-11 00:00:00+00:00,,,,,,,,,,,,3.3723748,,,,,,,,,,,,,
1982-01-13 00:00:00+00:00,,,,,,,,,,,,1.4405568,,,,,,,,,,,,,
1982-01-15 00:00:00+00:00,,,,,,,,,,,,0.045011364,,,,,,,,,,,,,
1982-01-22 00:00:00+00:00,,,,,,,,,,,,0.9645341,,,,,,,,,,,,,
1982-01-27 00:00:00+00:00,,,,,,,,,,,,0.013761364,,,,,,,,,,,,,
1982-01-30 00:00:00+00:00,,,,,,,,,,,,1.3501137,,,,,,,,,,,,,
1982-02-01 00:00:00+00:00,,,,,,,,,,,,4.7153068,,,,,,,,,,,,,
1982-02-05 00:00:00+00:00,,,,,,,,,,,,0.123852275,,,,,,,,,,,,,
1982-02-08 00:00:00+00:00,,,,,,,,,,,,1.0491931,,,,,,,,,,,,,
1982-02-11 00:00:00+00:00,,,,,,,,,,,,1.6243637,,,,,,,,,,,,,
1982-02-14 00:00:00+00:00,,,,,,,,,,,,7.8000917,,,,,,,,,,,,,
1982-02-25 00:00:00+00:00,,,,,,,,,,,,0.9941705,,,,,,,,,,,,,
1982-03-05 00:00:00+00:00,,,,,,,,,,,,4.779216,,,,,,,,,,,,,
1982-03-22 00:00:00+00:00,,,,,,,,,,,,1.1542387,,,,,,,,,,,,,
1982-03-26 00:00:00+00:00,,,,,,,,,,,,0.9405114,,,,,,,,,,,,,
1982-03-30 00:00:00+00:00,,,,,,,,,,,,2.321943,,,,,,,,,,,,,
1982-04-02 00:00:00+00:00,,,,,,,,,,,,0.69328403,,,,,,,,,,,,,
1982-04-04 00:00:00+00:00,,,,,,,,,,,,0.043,,,,,,,,,,,,,
1982-04-08 00:00:00+00:00,,,,,,,,,,,,0.95617044,,,,,,,,,,,,,
1982-04-16 00:00:00+00:00,,,,,,,,,,,,2.6867955,,,,,,,,,,,,,
1982-04-20 00:00:00+00:00,,,,,,,,,,,,6.3442955,,,,,,,,,,,,,
1982-04-24 00:00:00+00:00,,,,,,,,,,,,0.49813637,,,,,,,,,,,,,
1982-05-03 00:00:00+00:00,,,,,,,,,,,,0.47002274,,,,,,,,,,,,,
1982-05-06 00:00:00+00:00,,,,,,,,,,,,3.0843294,,,,,,,,,,,,,
1982-05-13 00:00:00+00:00,,,,,,,,,,,,0.7195227,,,,,,,,,,,,,
1982-05-17 00:00:00+00:00,,,,,,,,,,,,0.39743185,,,,,,,,,,,,,
1982-05-22 00:00:00+00:00,,,,,,,,,,,,0.55888635,,,,,,,,,,,,,
1982-05-24 00:00:00+00:00,,,,,,,,,,,,2.195216,,,,,,,,,,,,,
1982-06-02 00:00:00+00:00,,,,,,,,,,,,1.542034,,,,,,,,,,,,,
1982-06-12 00:00:00+00:00,,,,,,,,,,,,0.7355,,,,,,,,,,,,,
1982-06-16 00:00:00+00:00,,,,,,,,,,,,2.5501819,,,,,,,,,,,,,
1982-06-21 00:00:00+00:00,,,,,,,,,,,,0.7988977,,,,,,,,,,,,,
1982-06-24 00:00:00+00:00,,,,,,,,,,,,0.8841818,,,,,,,,,,,,,
1982-06-26 00:00:00+00:00,,,,,,,,,,,,1.6113068,,,,,,,,,,,,,
1982-06-28 00:00:00+00:00,,,,,,,,,,,,1.3733295,,,,,,,,,,,,,
1982-07-07 00:00:00+00:00,,,,,,,,,,,,2.9054208,,,,,,,,,,,,,
1982-07-10 00:00:00+00:00,,,,,,,,,,,,1.5858521,,,,,,,,,,,,,
1982-07-12 00:00:00+00:00,,,,,,,,,,,,1.1483182,,,,,,,,,,,,,
1982-07-14 00:00:00+00:00,,,,,,,,,,,,3.1951818,,,,,,,,,,,,,
1982-07-17 00:00:00+00:00,,,,,,,,,,,,0.27449998,,,,,,,,,,,,,
1982-07-19 00:00:00+00:00,,,,,,,,,,,,1.0033067,,,,,,,,,,,,,
