usgs_site_no,year,days,flow(mm),baseflow(mm),rainfall(mm),ET(mm),ET/day(mm/day),MODIS_ET(mm/day),MODIS_PET(mm/day),DI,Budyko_ET(mm/day),<ET/R>,<Qb/Qf>
02236350,2015,365.0,262.20489524867736,190.9719269991351,1349.4264,1087.221429595683,2.978688848207351,2.205041396959205,4.943524010236339,1.3371505663193186,2.9228075826924185,0.8056915415040294,0.7283308986966688
02236350,2016,365.0,306.77024133426113,208.54349043285023,1450.8567,1144.0864708878382,3.134483481884488,2.1134014892211614,5.001537260553654,1.2582642471670975,3.067323181867715,0.7885592555106746,0.6798035217686528
02236350,2017,365.0,215.99377432397424,144.9304502402877,1500.0356,1284.0418148941653,3.51792278053196,2.1528864970645794,4.954333885292789,1.205525931816746,3.1146796892155844,0.8560075352712161,0.6709936464321562
02236350,2018,365.0,171.6296436678888,108.74853901414457,1595.5181,1423.888392220783,3.901064088276118,2.114031311154599,4.756339003462291,1.0880877959433277,3.1626094339827553,0.8924301279946982,0.6336232872718535
02236350,2019,365.0,273.55696795718814,191.01680356864753,1451.709,1178.1520126031146,3.227813733159218,2.26416980279994,4.843730995032366,1.2178486406130282,3.027479755905352,0.8115621142279704,0.698270656364863
02236350,2020,365.0,214.50468176408012,158.93901822648854,1420.7561,1206.251435341404,3.304798452990148,2.0855273824536122,4.857019005584579,1.2477947007594008,2.9933350005259127,0.8490207660249112,0.7409582714902947
02236350,2021,365.0,67.56970537924303,49.18586070473645,1151.0474,1083.4776073572682,2.968431800978817,2.1886339003462294,4.685066987806715,1.485646468686287,2.59033089919037,0.941297154157616,0.7279277070793033
02236350,2022,365.0,236.13643885738992,160.0279258226269,1647.2546,1411.1181597601637,3.866077150027846,2.2174055396658137,4.796311154598826,1.062770460819624,3.228343023888726,0.8566484662613547,0.6776926364984809
02236350,2023,365.0,126.75212742047854,89.43817141865499,1261.0928,1134.3405945186084,3.1077824507359137,2.1256962215866326,4.821213307240705,1.3954111023458897,2.775657879865995,0.8994902027918302,0.7056147556558094
02237734,1992,356.0,27.3223226768365,15.25688858559632,1500.7924,1473.4700643318304,4.138960854864692,,4.691189919846207,1.1127879230724822,3.0824811700406203,0.9817947540086331,0.5584037918756778
02237734,1993,365.0,100.9162665545805,62.60433626318887,1093.5554,992.6391419232027,2.719559292940281,,4.691189919846207,1.5657956510939275,2.50413475199053,0.907717271424724,0.6203592185936581
02237734,1994,365.0,237.78903832616857,147.25296353500198,1865.8748,1628.08574042139,4.460508877866822,,4.691189919846207,0.9176844883970952,3.387501561457395,0.8725589621215143,0.6192588378822543
02237734,1995,365.0,253.36470900670895,163.4384766096121,1384.0591,1130.6943882833302,3.0977928446118637,,4.691189919846207,1.2371468407482367,2.9056208481995762,0.8169408394213339,0.6450719883221161
02237734,1996,365.0,189.73758870582404,124.307623515959,1453.3163,1263.5787145473498,3.4618594919105474,,4.691189919846207,1.1781911063566939,2.9876984557156825,0.8694450948511642,0.6551554932464647
02237734,1998,355.0,201.49413390925162,134.63380853757815,1202.6486,1001.1543786926007,2.820153179415777,,4.691189919846207,1.3847540150386202,2.7139010400716477,0.8324579701407513,0.6681773108005922
02237734,1999,360.0,101.12790547487262,63.118585526723955,1214.802,1113.6741250884818,3.093539236356894,,4.691189919846207,1.3902087487750128,2.707183784042388,0.9167536135913074,0.6241460774880492
02237734,2001,361.0,67.44076618106499,39.96048735280153,1344.5654,1277.1246101006734,3.537741302217932,1.8917014746612772,4.600067370312149,1.2350639723562156,2.8519717656436314,0.9498419205954887,0.5925271851970899
02237734,2003,365.0,175.73394911249932,118.6185609788609,1359.7618,1184.027909827625,3.243912081719521,2.001875888913841,4.377276742271128,1.1749895922694105,2.79201926135761,0.8707612423608893,0.6749894461366998
