,02236350_event_rainfall,02237734_event_rainfall,02236500_event_rainfall,02236605_event_rainfall,02236700_event_rainfall,02240954_event_rainfall,02240902_event_rainfall,02231342_event_rainfall,02231396_event_rainfall,02231454_event_rainfall,02231458_event_rainfall,02231600_event_rainfall,02232155_event_rainfall,02232200_event_rainfall,02232415_event_rainfall,02233001_event_rainfall,02233200_event_rainfall,02233460_event_rainfall,02233473_event_rainfall,02234308_event_rainfall,02234324_event_rainfall,02234990_event_rainfall,02234344_event_rainfall,02234998_event_rainfall,02234400_event_rainfall,02234635_event_rainfall,02234384_event_rainfall,02234365_event_rainfall,022349993_event_rainfall,02235000_event_rainfall,02233475_event_rainfall,02233484_event_rainfall,02233500_event_rainfall,02234180_event_rainfall,02235200_event_rainfall,02246000_event_rainfall,02244320_event_rainfall,02244333_event_rainfall,02245255_event_rainfall,02245260_event_rainfall,02245328_event_rainfall,02246150_event_rainfall,02244473_event_rainfall,02245050_event_rainfall,02245140_event_rainfall,02245500_event_rainfall,02246318_event_rainfall,02246300_event_rainfall,02246459_event_rainfall,02246828_event_rainfall,02246832_event_rainfall,02246515_event_rainfall,02246520_event_rainfall,02246359_event_rainfall,02231280_event_rainfall,02231268_event_rainfall
1980-04-19 00:00:00+00:00,,,,,,1.469408,1.7602913,,,,,,,,,0.82215387,,,,,,,,,,,,,,,,,,,,,0.24075,,0.62666667,,,0.846375,1.1844379,1.6188368,1.2807087,,,1.5425,,0.877282,0.77066666,,,,1.5577161,
1980-04-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7458674,,,,,,,0.72250855,,,,1.6034756,,,,,,,1.5341756,
1980-04-27 00:00:00+00:00,,,,,,0.74113595,0.8162252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98380005,,,1.5392749,0.11857851,,0.5188032,,,,,1.4875898,1.5123333,,,,,
1980-04-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022425,,,,,,0.22704878,,0.21615386,0.22008333,,,,0.31532434,
1980-05-03 00:00:00+00:00,,,,,,,0.37147146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41196665,,,0.44870004,0.50694215,0.46453533,0.5779055,,,0.34601218,,0.39191025,0.40558332,,,,0.52856755,
1980-05-04 00:00:00+00:00,,,,,,1.9345678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-05 00:00:00+00:00,,,,,,,1.2952611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37833676,,0.6393,,,0.46695,0.65356195,0.82391244,0.6163465,,,0.30981708,,0.36734614,0.36583334,,,,0.31858107,
1980-05-08 00:00:00+00:00,,,,,,5.088064,4.4126306,,,,,,,,,6.038808,,,,,,,,,,,,,,,,,,,,,4.636551,,4.1451,,,2.7076752,4.166463,3.9606178,3.8354568,,,2.6466465,,2.376513,2.2841668,,,,2.5490003,
1980-05-15 00:00:00+00:00,,,,,,,1.555913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8376582,,1.4698666,,,1.4763,1.8058926,1.729882,1.8616457,,,2.304378,,1.5760256,1.4048334,,,,1.947365,
1980-05-16 00:00:00+00:00,,,,,,2.4753761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-17 00:00:00+00:00,,,,,,,1.8505316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45510745,1.3533838,,,,,,,,,,,,
1980-05-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5441585,,1.2496411,0.74733335,,,,2.5045269,
1980-05-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59905,,,,,,,,,,,,,,
